establNumber,operatorName,locationAddress,geoAdddress,mailingAddress,functionCodes,telephoneNumber
12,LES VIANDES DU BRETON INC.,150; CHEMIN DES RAYMOND   RIVIERE-DU-LOUP QC G5R 5X8,"47.838978, -69.5001956",   ,1d 3x 6x 11ADFGHKQRSVO,(418) 863-6711 (418)63-6767/F Ext. 351
13,GROBER INC.Also Doing Business As Name:   DELFT BLUE : GRODELL FOODS,425-435 DOBBIE DRIVE   CAMBRIDGE ON N1T 1S9,"43.36846980000001, -80.2829644",   , 3fgx 6fgx 9B/US 11ADK,(519) 740-8325 (519) 622-9075/F
014C,SOFINA FOODS INC./ALIMENTS SOFINA INC.,145 EAST DRIVE   BRAMALEA ON L6T 1B9,"43.7140902, -79.6858165",   , 6fx 9B 11AD,(905) 790-3737 (905) 790-1416/F (   )    -
17,FLINTSHIRE FARMS INC.,PART LOTS 21 & 22; CON. VI KALADAR TOWNSHIP  LENNOX/ADDINGTON COUNTY ON K0H 1P0,"44.6480264, -77.23337219999999",79 PHEASANT FARM ROAD   FLINTON ON K0H 1P0,1fgh 3fg 6fg 11D,(613) 336-8552 (613) 336-9218/F (613) 336-8144/I
20,WRENPORT INVESTMENTS INC.Also Doing Business As Name:   FLEISH MEAT PROCESSORS : BEST MEATS,33 GUNNS ROAD   TORONTO ON M6N 4X9,"43.6737603, -79.4718826",   , 3fx 6fx 11DK,(416) 769-1788 (416) 769-0649/F
21,LACOMBE MEAT RESEARCH CENTRE,RESEARCH STATION-AGRICULTURE CANADA; SE. 1/4; SEC. 24 TWP 40; RG 27; W.4  LACOMBE AB T4L 1W1,"52.457542, -113.7430469",6000 C&E TRAIL   LACOMBE AB T4L 1W1,1acdh 3x 6x,(403) 782-8100 (403) 782-6120/F (403) 782-8128/I
22,ABATTOIR AGRI-BIO INC.,999 RUE INDUSTRIELLE   ST-AGAPIT QC G0S 1Z0,"46.5677695, -71.4444584",   ,1fh 3f 11AD,(418) 888-4554 (418) 888-4770/F (418) 888-3161/I
23,THE SASKATCHEWAN FOOD INDUSTRY DEVELOPMENT CENTRE INC.Also Doing Business As Name:   THE FOOD CENTRE,52 INNOVATION BOULEVARD   SASKATOON SK S7N 2V3,"52.1362205, -106.6323567",2335 SCHUYLER STREET   SASKATOON SK S7M 5V1, 3fx 6fx,(306) 933-7555 (306) 933-7208/F (306) 975-6442/I
25,EXCELDOR FOODS LTD.,478 - 14TH STREET   HANOVER ON N4N 1Z9,"44.1586477, -81.0229033",PO BOX 220   HANOVER ON N4N 3C6,1f 3f 6fx 11AD,(519) 364-1770 (519) 364-7745/F
26,TONY'S MEATS LTD.Also Doing Business As Name:   TONY'S MEATS,475 LANDING ROAD LOT# 00098825  ANTIGONISH NS B2G 2L2,"45.6327837, -61.96207589999999",475 LANDING ROAD   ANTIGONISH NS B2G 2L2, 3x 6fx 11ADK,(902) 863-1545 (902) 863-9313/F
28,FRANZ TURKEY FARMS LTD.*,LOT 1; CON. 9 MOOR TOWNSHIP R.R.#4 PETROLIA ON N0N 1R0,"42.8795576, -82.132107",2950 PLANK ROAD   PETROLIA ON N0N 1R0, 3f 6f,(519) 864-1071 (519) 864-1460/F
29,9256-5589 QUEBEC INC.Also Doing Business As Name:   CHAI CONTINENTAL : CONTINENTAL STRICKLY KOSHER : KOSHER CLASSIQUE : C & G MEAT PACKAGING : MARCONI MEAT : FAMOUS KOSHER,8593 CHEMIN DELMEADE   MONT-ROYAL QC H4T 1M1,"45.4909092, -73.677916",   , 3fx 6fx 11D,(514) 522-1196 (514) 522-1198/F
31,PROVISIONS MARQUIS INC.Also Doing Business As Name:   REINE DES SAUCES,11515; BOUL. LOUIS-H.-LAFONTAINE   MONTREAL QC H1E 7M1,"45.61946640000001, -73.59996079999999",   , 6x,(514) 643-4341 (514) 643-4341/F
32,LES VIANDES BERNARD CENTRALE INC./CENTRAL BERNARD BUTCHERS CORP. INC.Also Doing Business As Name:   LES VIANDES CENTRAL BERNARD : LES VIANDES CENTRAL BERNARD INC.,2001; 32 IEME AVENUE   LACHINE QC H8T 3J1,"45.4621772, -73.7092729",   , 3f 6f 9B/US 11D,(514) 780-8585 (514) 780-8590/F
36,EXPRESCO FOODS INC./ALIMENTS EXPRESCO INC.,8205; ROUTE TRANSCANADIENNE   ST-LAURENT QC H4S 1S4,"45.4902164, -73.7240958",   , 6fx 11DA,(514) 344-9443 (514) 344-1880/F
37,HUDSON VALLEY FARMS (CA) ULCAlso Doing Business As Name:   Fermes Hudson Valley (CA)/ Hudson Valley Produits de canard,228 RUE PRINCIPALE   ST-LOUIS DE GONZAGUE QC J0S 1T0,"45.2105781, -74.0137266",   ,1f 3f 6f 11DKA,(450) 377-8766 (450) 377-1404/F
38,JBS FOOD CANADA ULC/ALIMENT JBS CANADA ULC,HIGHWAY 1 WEST   BROOKS AB T1R 1C6,"50.5702918, -111.8955906",P.O. BOX 1868   BROOKS AB T1R 1C6,1a 3x 6x 8Y 11ACDGKLMQRSVIH,(403) 362-3457 (403) 501-2100/F (403) 362-2482/I
39,UNIDINDON INC./UNITURKEY INC.,3380 RUE PRINCIPALE   ST-JEAN BAPTISTE DE ROUVILLE QC J0L 2B0,"45.5170059, -73.1288715",   ,1f 3f 6f 11ADG,(450) 467-2875 (450) 467-8334/F (450) 467-4402/I
039A,OLYMEL S.E.C./OLYMEL L.P.Also Doing Business As Name:   OLYMEL S.E.C./L.P. : ALIMENTS PRINCE; S.E.C./PRINCE FOODS; L.P. : SUPRALIMENT S.E.C.,770; RUE CLAUDE   ST-JEAN-SUR RICHELIEU QC J3B 2W5,"45.3040549, -73.29272929999999",   , 3x 6fx 11ADF,(450) 347-2241 (450) 347-2482/F (450) 347-0985/I
039B,OLYMEL S.E.C./OLYMEL L.P.Also Doing Business As Name:   OLYMEL S.E.C./L.P. : ALIMENTS PRINCE; S.E.C./PRINCE FOODS; L.P. :SUPRALIMENT S.E.C.,3250 BOULEVARD LAURIER EST   ST-HYACINTHE QC J2R 2B6,"45.6373995, -72.9146403",   , 3f 6fx 11ADG,(450) 773-6661 (450) 773-6148/F
039D,OLYMEL S.E.C./OLYMEL L.P.Also Doing Business As Name:   OLYMEL S.E.C./L.P. : ALIMENTS PRINCE; S.E.C./PRINCE FOODS; L.P.: SUPRALIMENT S.E.C.,580 RUE LAFERRIERE   BERTHIERVILLE QC J0K 1A0,"46.0857864, -73.1805981",   ,1f 3f 6f 11ADGRV,(450) 836-1651 (450) 836-7502/F (450) 836-7983/I
039G,OLYMEL S.E.C./OLYMEL L.P.Also Doing Business As Name:   OLYMEL S.E.C./L.P. : ALIMENTS PRINCE; S.E.C./PRINCE FOODS; L.P. : SUPRALIMENT S.E.C.,249; RUE PRINCIPALE   ST-DAMASE QC J0H 1J0,"45.5224443, -73.0135",   ,1fi 3f 6f 11ADGRV,(450) 797-2691 (450) 797-2469/F (450) 797-2463/I
039J,OLYMEL S.E.C./OLYMEL L.P.Also Doing Business As Name:   OLYMEL S.E.C./L.P. - ALIMENTS PRINCE S.E.C./PRINCE FOODS; L.P. - SUPRALIMENT S.E.C.,318 ORENDA ROAD   BRAMPTON ON L6T 1G1,"43.70249, -79.70244",   BC , 3f 6f 11D,(450) 771-0400 (450) 773-6436/F Ext. 45/I
40,ALIMENTS PRMONT INC.Also Doing Business As Name:   PREMONT FOODS INC.,1505 ROUTE LUPIEN   STE-ANGELE DE PRMONT QC J0K 1R0,"46.3795751, -73.0318405",   , 3x 6x 11ADKFQ,(819) 268-2820 (819) 268-2825/F (   )    -
43,J & L BEEF LTD.Also Doing Business As Name:   SUNRISE POULTRY,17565 - 65A AVENUE   SURREY BC V3S 8E7,"49.12148939999999, -122.7354792",   , 3fx 6fx 11ADGK,(604) 576-0717 (604) 576-0726/F (604) 576-3198/I
44,SELECT FOOD PRODUCTS LTD.,120 SUNRISE AVENUE   TORONTO ON M4A 1B4,"43.718771, -79.3105255",   , 2fx 6fx 11D,(416) 759-9316 (416) 759-9310/F
45,LES ALIMENTS VESTAR INC./VESTAR FOODS INC.,6449; RUE ABRAMS   VILLE ST-LAURENT QC H4S 1X9,"45.4886448, -73.7530956",   , 3f 6fx 11D,(514) 789-6555 (514) 332-2508/F
47,MAPLE LEAF FOODS INC./LES ALIMENTS MAPLE LEAF INC.Also Doing Business As Name:   MAPLE LEAF FOODS/LES ALIMENTS MAPLE LEAF : MAPLE LEAF MEATS/LES VIANDES MAPLE LEAF : MAPLE LEAF PREPARED MEATS/LES VIANDES PRPARES MAPLE LEAF : MAPLE LEAF FOOD SERVICE/SERVICE ALIMENTAIRE MAPLE LEAF : SHOPSYS : SHOPSY'S FOODS/LES ALIMENTS SHOPSY'S : LES ALIMENTS HYGRADE/HYGRADE FOODS : VANCOUVER FANCY MEATS/LES VIANDES PRPARES VANCOUVER FANCY : BURNS MEATS : GAINER : PRINCIPAL MARQUES : PRINCIPAL MARQUES MEAT COMPANY : BITTNERS : PARMA : COORSH : MAPLE LEAF CONSUMER FOODS : LES ALIMENTS DE CONSOMMATION MAPLE LEAF : MAPLE LEAF PORK/PORC MAPLE LEAF : HUB MEAT PACKERS : LARSEN PACKERS : PRIME POULTRY : PRIME MEATS : MAPLE LEAF : TEND-R-FRESH : CLEARVIEW FARMS : ROYCE DUPONT : THE POULTRY COMPANY : MAPLE LEAF POULTRYMAPLE LEAF FOODS,100 ETHEL AVENUE   TORONTO ON M6N 4Z7,"43.66879429999999, -79.47470299999999",   ,1fi 3f 6f 11D,(416) 767-5151 (416) 767-7551/I (416) 767-2113/F
48,LES ALIMENTS LEVITTS(CANADA) INC./LEVITTS FOODS (CANADA) INC.,7070 RUE ST. PATRICK   LASALLE QC H8N 1V2,"45.4506009, -73.6247971",   , 3fx 6fx 9B/US 11DA,(514) 367-1654 (514) 367-3035/F
49,PREMIUM BRANDS OPERATING GP INC.Also Doing Business As Name:   HARVEST MEATS,501 YORK ROAD WEST   YORKTON SK S3N 2V6,"51.2258619, -102.4904903",P.O. BOX 68   YORKTON SK S3N 2V6, 3x 6fx 9B/US 11D,(306) 783-9446 (306) 783-9298/F (306) 786-5308/I
50,10643475 CANADA INCAlso Doing Business As Name:   DISTRIBUTION GOURMET EXCELLENCE; VOLAILLE EXCLUSIF; VOLAILLE SUPERIEURE; VOLAILLE SAINT-ELZEAR,233; BOUL. ST-ELZAR OUEST   LAVAL QC H7L 3N5,"45.5921534, -73.7381872",   , 3fx 6fx 11D,(450) 975-8888/T (450) 975-8863/F
51,CARGILL LIMITED - CARGILL LIMITEEAlso Doing Business As Name:   CARGILL MEAT SOLUTIONS - GUELPH : CARGILL MEAT SOLUTIONS : CARGILL FOODS : BETTER BEEF - CARGILL MEAT SOLUTIONS,165 DUNLOP DRIVE   GUELPH ON N1L 1P4,"43.5528129, -80.20354569999999",   ,1ai 3x 6x 11ACDGKLPQRSVIE,(519) 823-5200 (519) 823-5451/F
52,UL CANADA INC.*,307 ORENDA ROAD   BRAMPTON ON L6T 1G4,"43.6995975, -79.7055324",   , 6fx,
55,CAMPBELL COMPANY OF CANADA/COMPAGNIE CAMPBELL DU CANADA*,60 BIRMINGHAM STREET   TORONTO ON M8V 2B8,"43.60499730000001, -79.5004769",   , 2fx 11D,(416) 251-1131 (416) 253-8654/F
58,WINKLER MEATS LTD.,270 GEORGE STREET   WINKLER MB R6W 3M4,"49.1787779, -97.9294479",270 GEORGE STREET   WINKLER MB R6W 3M4,1adhi 2x 3x 4Y 6fx 11AD,(204) 325-9593 (204) 325-9350/I (204) 325-5735/F
59,9311-5947 Quebec Inc.Also Doing Business As Name:   Les Aliments Kamloop,3775; Boul. De la Grande- Alle   Boisbriand QC J7H 1M6,"45.63134729999999, -73.86257549999999",3775; Boul. De la Grande- Alle   Boisbriand QC J7H 1M6, 6f(23),514-774-8736 450-430-0257
60,SOFINA FOODS INC./ ALIMENTS SOFINA INC.Also Doing Business As Name:   LILYDALE,502 BOSWORTH STREET   WYNYARD SK S0A 4T0,"51.7661308, -104.1852863",100 COMMERCE VALLEY DRIVE WEST   MARKHAM ON L3T 0A1,1fi 3f 6f 11DG,(306) 554-2555 (306) 554-3958/F
62,GRIFFITH FOODS LIMITED / ALIMENTS GRIFFITH LIMITEE,757 PHARMACY AVENUE   TORONTO ON M1L 3J8,"43.7183843, -79.2941706",   , 6fx 11D,(416) 288-3050 (416) 288-3417/I (416) 288-3481/F
63,6583106 Manitoba Limited .Also Doing Business As Name:   Northern Goose Processors,103 First Street SW   Teulon MB R0C 3B0,"50.3853871, -97.2651815",115 Glen Scarlett Road   Toronto ON M6N 1P5,1f 4Y 8Y 11D,416-766-4142
64,EXCELDOR COOPERATIVE,1081 RUE PARENT   ST-BRUNO-DE-MONTARVILLE QC J3V 6L7,"45.5278246, -73.3708409",   , 3f 6f 11D,(450) 441-7902 (450) 441-6235/F
65,SUNRISE POULTRY PROCESSORS LTD.,5204-80TH AVENUE   TABER AB T1G 2E1,"49.81458, -112.14678",13542 73A AVENUE   SURREY BC V3W 1C9,1f 3f 6f 11D,(403) 223-4502 (403) 223-7497/F (403) 223-8080/I
66,SUNNYMEL LIMITED PARTNERSHIP / SUNNYMEL; SOCIETE EN COMMANDITEAlso Doing Business As Name:   OLYMEL S.E.C./OLYMEL L.P. : OLYMEL S.E.C./L.P.,465 RUE PRINCIPALE   CLAIR NB E7A 2G6,"47.26417259999999, -68.5989932",9 WESTCO ROAD   ST-FRANCOIS DE MADAWASKA NB E7A 1H5,1fi 3f 6f 11D,(506) 992-2076 (506) 992-2113/F
67,PRODUITS ALIMENTAIRES VIAU INC.-VIAU FOOD PRODUCTS INC.,6625; RUE ERNEST-CORMIER   LAVAL QC H7C 2V2,"45.6319263, -73.65065489999999",   , 6x 9B 11ADF,(450) 665-6100 (450) 665-7100/F
68,DELI-PORC INC.Also Doing Business As Name:   LES ENTREPOTS S.A.C. (2000) INC. / S.A.C. STORAGE INC. : LES VIANDES OR-FIL INTERNATIONAL INC.,1805 BOUL. INDUSTRIEL   LAVAL QC H7S 1P5,"45.5732885, -73.72183749999999",   , 3x 6x 9B/US 11ADFGKQRSVI 12Y,(450) 628-3221 (450) 628-7996/F
069B,MAPLE LEAF FOODS INC./LES ALIMENTS MAPLE LEAF INC.Also Doing Business As Name:   CANA FOODS : PRIME POULTRY : MAPLE LEAF POULTRY: FLEETWOOD SAUSAGE: MAPLE LEAF MEATS:MAPLE LEAF PREPARED MEATS: SHOPSY'S fOODS: VANCOUVER FANCY MEATS: MAPLE LEAF PORK: MAPLE LEAF FRESH FOODS: J.M. SCHEIDER: MITCHELL'S GOURMET FOODS; SCHNEIDER FOODS: MAPLE LEAF CONSUMER FOODS: CLEARVIEW TURKEY FARMS: LARSEN PACKERS: THAMES VALLEY PROCESSORS: CAPPOLA FOOD: COLD SPRING FARM: MAPLE LEAF FOOD SERVICE: MAPLE LEAF FOODS: MINA: MINA FOODS: GREENFIELD: GREENFIELD NATURAL MEATS: DEVOUR JERKLY,100 MCLEOD AVENUE   SASKATOON SK S7M 5V9,"52.1096724, -106.7097194",6895 FINANCIAL DRIVE   MISSISSAUGA ON L5N 0A1, 6fx 11AD,(306) 978-3600 (306) 975-6447/I (306) 931-4315/F
